-81.02583, 29.17634, Jimmy John's Gourmet Sandwiches, USA-United States
-86.82137, 35.94513, Jimmy John's Gourmet Sandwiches, USA-United States
-85.48825, 32.58521, Jimmy John's Gourmet Sandwiches, USA-United States
-81.07724, 29.18578, Jimmy John's Gourmet Sandwiches, USA-United States
-84.15113, 35.90248, Jimmy John's Gourmet Sandwiches, USA-United States
-84.27959, 34.09370, Jimmy John's Gourmet Sandwiches, USA-United States
-83.37490, 33.95870, Jimmy John's Gourmet Sandwiches, USA-United States
-80.25734, 25.75002, Jimmy John's Gourmet Sandwiches, USA-United States
-88.54133, 34.93059, Jimmy John's Gourmet Sandwiches, USA-United States
-82.34516, 29.65211, Jimmy John's Gourmet Sandwiches, USA-United States
-84.36962, 33.84476, Jimmy John's Gourmet Sandwiches, USA-United States
-80.12651, 26.80952, Jimmy John's Gourmet Sandwiches, USA-United States
-82.54661, 27.36107, Jimmy John's Gourmet Sandwiches, USA-United States
-84.39350, 33.80716, Jimmy John's Gourmet Sandwiches, USA-United States
-82.79993, 27.95989, Jimmy John's Gourmet Sandwiches, USA-United States
-80.19454, 25.77442, Jimmy John's Gourmet Sandwiches, USA-United States
-81.01662, 33.99873, Jimmy John's Gourmet Sandwiches, USA-United States
-84.24740, 30.43086, Jimmy John's Gourmet Sandwiches, USA-United States
-84.24740, 30.43086, Jimmy John's Gourmet Sandwiches, USA-United States
-86.80596, 36.14813, Jimmy John's Gourmet Sandwiches, USA-United States
-83.30851, 30.84686, Jimmy John's Gourmet Sandwiches, USA-United States
-81.78130, 26.36472, Jimmy John's Gourmet Sandwiches, USA-United States
-82.43256, 28.05437, Jimmy John's Gourmet Sandwiches, USA-United States
-80.10369, 26.39544, Jimmy John's Gourmet Sandwiches, USA-United States
-82.35476, 29.63521, Jimmy John's Gourmet Sandwiches, USA-United States
-83.93529, 35.95545, Jimmy John's Gourmet Sandwiches, USA-United States
-81.87120, 26.53488, Jimmy John's Gourmet Sandwiches, USA-United States
-81.04043, 33.99936, Jimmy John's Gourmet Sandwiches, USA-United States
-81.04043, 33.99936, Jimmy John's Gourmet Sandwiches, USA-United States
-81.93163, 34.96567, Jimmy John's Gourmet Sandwiches, USA-United States
-81.36379, 28.58687, Jimmy John's Gourmet Sandwiches, USA-United States
-84.38415, 33.78009, Jimmy John's Gourmet Sandwiches, USA-United States
-82.45894, 27.94879, Jimmy John's Gourmet Sandwiches, USA-United States
-80.23779, 27.17907, Jimmy John's Gourmet Sandwiches, USA-United States
-84.19435, 33.96842, Jimmy John's Gourmet Sandwiches, USA-United States
-80.09056, 26.53666, Jimmy John's Gourmet Sandwiches, USA-United States
-84.38081, 33.77813, Jimmy John's Gourmet Sandwiches, USA-United States
-84.30318, 30.44883, Jimmy John's Gourmet Sandwiches, USA-United States
-87.55755, 33.23660, Jimmy John's Gourmet Sandwiches, USA-United States
-80.74947, 35.30165, Jimmy John's Gourmet Sandwiches, USA-United States
-79.93629, 32.78366, Jimmy John's Gourmet Sandwiches, USA-United States
-80.96820, 33.98403, Jimmy John's Gourmet Sandwiches, USA-United States
-82.39808, 34.84921, Jimmy John's Gourmet Sandwiches, USA-United States
-84.96204, 32.50918, Jimmy John's Gourmet Sandwiches, USA-United States
-81.21922, 28.59771, Jimmy John's Gourmet Sandwiches, USA-United States
-83.38392, 33.95005, Jimmy John's Gourmet Sandwiches, USA-United States
-80.31738, 27.27178, Jimmy John's Gourmet Sandwiches, USA-United States
-88.85304, 35.67193, Jimmy John's Gourmet Sandwiches, USA-United States
-80.10629, 26.21409, Jimmy John's Gourmet Sandwiches, USA-United States
-80.10192, 26.89877, Jimmy John's Gourmet Sandwiches, USA-United States
-81.38280, 28.40768, Jimmy John's Gourmet Sandwiches, USA-United States
-84.39901, 33.78647, Jimmy John's Gourmet Sandwiches, USA-United States
-80.70246, 35.12803, Jimmy John's Gourmet Sandwiches, USA-United States
-82.72850, 27.78545, Jimmy John's Gourmet Sandwiches, USA-United States
-86.43016, 35.85695, Jimmy John's Gourmet Sandwiches, USA-United States
-80.05303, 26.71306, Jimmy John's Gourmet Sandwiches, USA-United States
-88.20255, 30.68381, Jimmy John's Gourmet Sandwiches, USA-United States
-85.48173, 32.60722, Jimmy John's Gourmet Sandwiches, USA-United States
-80.20251, 26.67793, Jimmy John's Gourmet Sandwiches, USA-United States
-84.31884, 30.44035, Jimmy John's Gourmet Sandwiches, USA-United States
-81.02552, 29.12873, Jimmy John's Gourmet Sandwiches, USA-United States
-86.46793, 36.97951, Jimmy John's Gourmet Sandwiches, USA-United States
-88.13073, 30.68785, Jimmy John's Gourmet Sandwiches, USA-United States
-86.59548, 36.31782, Jimmy John's Gourmet Sandwiches, USA-United States
-80.84546, 35.22603, Jimmy John's Gourmet Sandwiches, USA-United States
-89.88926, 35.10938, Jimmy John's Gourmet Sandwiches, USA-United States
-80.73683, 35.13479, Jimmy John's Gourmet Sandwiches, USA-United States
-80.64127, 28.03570, Jimmy John's Gourmet Sandwiches, USA-United States
-87.55264, 33.21071, Jimmy John's Gourmet Sandwiches, USA-United States
